Label,Label_XName,UniqueID
Edit macro,,9b2cce74
Edit model,,1733ca79
Edit object script,,09c7ab20
Edit package,,2df378ba
Edit parameter,,7f4020a8
Edit partition,,7180bb00
Edit persisting,,2bbaa90e
Edit predefined transformation,,e6d91158
Edit role,,e2afdd4e
Edit schema,,8acbc598
Edit script,,9aed5d2f
Edit snapshot,,5fce588c
Edit snapshot group,,d8034d2c
Edit source,,4314a941
Edit source column,,81548f93
Edit source columns,,0635a220
Edit source constraint,,da402b14
Edit source reference,,20425a99
Edit star,,d7031079
Edit table,,d0766b79
Edit table reference,,178952fa
Edit transformation,,3af72fbe
Edit/Run deployment,,6e76fd66
Empty record behaviour,,66e5978d
Empty record field,,07fe0cd4
Empty source,Empty source,54e2e3f7
Encrypted strings,,45cd629c
Environment variable,Environment variable,b86ad171
Error message,Error message,a5dc35f1
Evaluate,,966591fe
Evaluated statement,,733cd771
Exist in DWH,Exist in DWH,cfbbddde
Export,Export,36648955
Export connector to cloud,,c9df11b7
Export connector to file,,eaf0d55c
Export in Word,,d731e13b
Export macro to cloud,,a3dd854e
Export macro to file,,0311b537
Export model to cloud,,7fcd325c
Export model to file,,bb648f8e
Export script to cloud,,42cd39fe
Export script to file,,b4e81254
Export to OLAP,Export to OLAP,a216f6fe
Export to Visio,,85d73c27
Export to cloud,Export to cloud,790cefe3
Export to file,Export to file,2025bd88
External launched,,a83958a6
Externally filled table,Externally filled table,145f3986
Externally launched,Externally launched,54ce15ca
Extractor,Extractor,302733cd
Fact names,,6dfcb2c5
Fact table,Fact table,9d21a796
Fact transformation,,657dfe83
Facts and dimensions,,2c68269c
Facts from star ,,53eb06cf
Field names,,bb6250d7
Field names appearance,Field names appearance,79f3a8fb
Field[n],Field[n],7e9614f7
Fields,Fields,616f48c1
File,File,50009ce1
File extension,,15489d71
Fill columns,,fa7aaf55
Filter,Filter,638e249f
Filter Statement,Filter Statement,17669768
Filter schema,Filter schema,68e4e463
Filter table,,0b34d599
Filters,Filters,546ebb8e
Find next (F3),,a41dd88b
Find on diagram,,e69154b3
Find previous (Shift+F3),,9a980784
Finish,Finish,a6c7a84b
Finish reference,Finish reference,237bfeaa
First Steps with AnalyticsCreator (in german),,64b0acd8
Font size,,6d784d95
Force inherit,Force inherit,53cb8a47
Foreground Color,,88339d15
Foreground arrow,,7573e225
Foreground dimension,,ae117ca0
Foreground even column,,cb63d7c8
Foreground external transformation,,a9864186
Foreground fact,,22ff8542
Foreground header,,adaaef40
Foreground odd column,,55e88bd6
Foreground other object,,4a6ab6c3
Foreground package,,39aa3a38
Foreground script transformation,,05404325
Foreground source,,e218453f
Foreground table,,5916bb48
Foreground text,,ee0f4723
Foreground vault hub,,d6029223
Foreground vault link,,4424cb00
Foreground vault satellite,,d1096606
Foreground view,,f51ee5ac
Format,,2f343666
FrameScale,,584276ee
Friendly name,,d25d7b3e
FriendlyName,,3b5cbb55
Full,,008dacb6
Full refresh,Full refresh,9322071a
Full synchronize,Full synchronize,ea9c1dd8
Galaxies,,7116ee4a
Galaxy,,9b81c035
Generate packages,,136eea6a
Get CSV structure,Get CSV structure,d1689389
Group,Group,34ca0e76
Group members,Group members,dd0fd917
Group name,,762ebb70
HUB package name,,93346920
HUB table name,,97a10e51
HUB transformation name,,bed81d9a
Has primary key,,5982acfc
Hashkey field,,fb0f4624
Having,,e0d77ad5
Header font size,,d17fc496
Header hight,,38b9c201
"Header row delimiter (use {CR}, {LF} and {t})",,8def9354
Header rows to skip,,929b2c9a
Help,,b79cac92
Hidden in OLAP,Hidden in OLAP,b5dab453
Hierarchies,,2b487a26
Hierarchy name,,c774a391
Highlighted label,,45cf5af3
Hist Table,Hist Table,b21fe1a1
Hist Type,,94d8703e
Hist of table,,5fbc50d4
Hist package,,50eb368e
Historicize,,47826d54
Historicized,,9f8b4583
Historicized tables,,9ece7d15
Historiza- tions,,c0af7473
Historization,Historization,d561f62b
Historizing Package names,,c45b3840
Historizing type,,a9d96263
Home,,3a786953
Hub name,,35b848b3
Hub of table,,b0d37b7d
Hub schema,,055365b3
IDoc,IDoc,8ad0710a
Icon size,,a86cafc7
Identity column,,4aacc99d
If you need personal support or training for using AnalyticsCreator,,e6492c11
"If you rename columns in the manual transformation, please add the old and new names to this table.",,efa51101
ImpSQL,,0afbd2a7
Import,Import,2cff9baa
Import Package names,,86cbab91
Import connector from cloud,,5c55c7e5
Import connector from file,,99a0e90e
Import from cloud,Import from cloud,d02cbfcc
Import from file,Import from file,15405f88
Import macro from cloud,,8530b17e
Import macro from file,,c3b130f2
Import model from cloud,,b33ba6a5
Import model from file,,16cb2895
Import script from cloud,,7a67d17d
Import script from file,,38ddb603
Import tables,,f71ffd0f
Import transformations,,2c419bac
Import/Export definition,,f263318d
Import/Export object definition,,86c7c08c
Imports,,7df60b64
Inactive,,ac7c949f
Include,Include,7285576b
Include subdirectories,,7fe3b250
Include tables in facts,,715d64b8
Increment,,c7b1c3c9
Incremental column,Incremental column,7b97f634
Index name,,e71f62a3
Indexes,,90b901a3
Inherit Description,Inherit Description,93cd1777
Inherit Display Folder,,7ce88e8f
Inherit DisplayFolder,,e9b4b29c
Inherit FriendlyName,Inherit FriendlyName,1a3df493
Inherit all references,,85b624e6
Inherit primary key,,b80aea6c
Inheritance,Inheritance,9f0c392f
Integrated,Integrated,afe3d8a0
Interface,,c26b3ed4
Internet,,57e8a431
Interrupt,Interrupt,b6252314
Is clustered,,27a90d03
Is columnstore,,de303c76
Is in-memory table,Is in-memory table,f0f16530
Is primary key,,c1f99dc0
Is unique,,7c862e40
IsAggr.,,5a20eb73
Join,,fd30fe68
Keep identity,,4c3a4db9
Keep nulls,,825053f1
Key field name,,62e94bef
Key field names,,7fcd5dc5
Key fields NULL to zero,,904f60df
Keyword,,a668022a
LINK package name,,645d2ecf
LINK table name,,8454ed95
LINK transformation name,,3e1a3b27
LINKSAT table name,,51e2f061
Language,,a4fe6526
Layer variables,,70e6163e
Layers,,0bcd66e6
Leave,Leave,fc6e4a40
Line color,,54a0f6df
Line color thin,,68a8e7df
Line space,,03eb864f
Link,Link,a6a32dbc
Link of table,,1d7deb57
LinkSat name,,cf1847cf
LinkSat package,,b575fe14
List,,6f202f54
List Parameters,,04e217e7
List columns,,da07bf9e
List connectors,,15addbe0
List deployments,,678fb688
List galaxies,,62c08668
List groups,,46253657
List hierarchies,,16c5d957
List indexes,,f23f5368
List macros,,f23d5feb
List models,,908aa27d
List object scripts,,b4aecf3f
List objects,,857b0801
List packages,,7fe2e14a
List partitions,,83b30988
List post-creation scripts,,b9d8869d
List post-deployment scripts,,1be55cc4
List post-workflow scripts,,fe6859ae
List pre-creation scripts,,f26c89a2
List pre-deployment scripts,,19989097
List pre-workflow scripts,,ac4e33ed
List predefined transformations,,9057cb88
List references,List references,2f59663a
List repository extension scripts,,81471b29
List roles,,833a75e8
List schemas,,fd124b83
List snapshot groups,,344b6941
List snapshots,,69d6aabe
List source constraints,,76101c33
List source references,,f0e0b685
List sources,,97ed65f3
List stars,,98826d25
List tables,,d50be313
List transformations,,fa23fec0
Load field definitions from existing table,,ffa90363
Load from cloud,,3c860c2d
Load from file,,5ff54926
Locale,,ca3dc612
Locate in diagram,,0d7801d3
Locate in tree,Locate in tree,7a2d7397
Lock,,db44b8db
Lock group,,82f854fa
Lock object,Lock object,d4af0504
Locked by,Locked by,2866ba10
Locks,,8ecd1d82
Log.Destination,Log.Destination,7c28018f
Login,Login,9d6322c1
Lower case,Lower case,ff5afa49
MDX,,d434e4eb
Macro name,,d976ea75
Macros,,866dcd98
Mail:,,5878473b
Main,Main,eb814be3
Main box height,,aaea7f48
Main box width,,bace77de
Main table,Main table,76b5a552
Manual con. string,,a273dbe0
Manual dependencies,Manual dependencies,5566431a
Manually created,Manually created,600d3d55
Match case,,61988011
Max insert commit size,,f2e2fa27
Measure name,Measure name,62497700
Measures,Measures,aabaa8ff
Minor connector line opacity (%),,5c7cf297
Missing sources behaviour,Missing sources behaviour,ba40396d
Mixed Classic/DataVault 2.0,Mixed Classic/DataVault 2.0,55a9a253
Mode,Mode,5e23ec6a
Model,,5e2c614c
Model name,,a3c3370c
Models,,d17d2d78
Multidimensional,Multidimensional,f4551f01
Multidimensional cube,Multidimensional cube,f4e04b6f
N:1 direct and indirect related,N:1 direct and indirect related,2cac9e87
N:1 direct related,N:1 direct related,7fe21699
Name,Name,dcd1d522
Navigation tree,Navigation tree,f66b6994
New,New,18fdd549
New connector,,f492a978
